City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
516,Nizwa,OM,87.46,scattered clouds,22.9333,57.5333,Orient Apartments
519,Warwick,US,89.55,scattered clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
521,Garden City,US,84.45,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
523,Playa Vicente,MX,79.39,broken clouds,17.8333,-95.8167,"Hotel ""Imperio"""
526,Palamos,ES,76.28,overcast clouds,41.8484,3.1291,Hotel Rosamar
527,Kemri,IN,79.72,overcast clouds,28.8167,79.2167,Kemri palace
528,Kashi,CN,78.01,broken clouds,39.4547,75.9797,帕米尔青年旅舍
531,Camocim,BR,78.44,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
532,Altamira,BR,81.27,overcast clouds,-3.2033,-52.2064,Requinte Hotel
537,Guanica,PR,86.97,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
538,Mahabad,IR,75.96,clear sky,36.7631,45.7222,Afshar Hotel
540,Mitsamiouli,KM,75.15,clear sky,-11.3847,43.2844,Foyer ADM
541,Puerto Penasco,MX,86.92,clear sky,31.3167,-113.5333,Playa Bonita Resort
544,Miles City,US,81.57,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
545,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
546,Meulaboh,ID,75.78,overcast clouds,4.1363,96.1285,Kost Pria
550,Hobyo,SO,75.13,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
551,Alyangula,AU,76.53,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
554,Varna,BG,77.14,clear sky,43.2167,27.9167,Golden Tulip Varna
557,Hazleton,US,80.67,clear sky,40.9584,-75.9746,Residence Inn by Marriott Hazleton
558,Naze,JP,83.32,clear sky,28.3667,129.4833,Shishime Hotel
560,Katsuura,JP,82.81,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
563,Mineiros,BR,81.1,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
569,Tiruchchendur,IN,79.61,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
573,Bodden Town,KY,87.8,scattered clouds,19.2833,-81.25,Will T Place
574,Mogadishu,SO,75.36,overcast clouds,2.0371,45.3438,Hotel Juba
577,Qingyuan,CN,82.38,broken clouds,23.7,113.0333,Guojin Commercial Hotel
583,Kaseda,JP,83.8,broken clouds,31.4167,130.3167,Sun Stay Kaseda
584,Alugan,PH,76.62,overcast clouds,12.2188,125.4808,JM Lodge
588,Harqalah,TN,82.26,clear sky,36.0303,10.509,Dar Khadija
600,Sur,OM,86.56,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
