City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Wamba,NG,8.9333,8.6,71.82,95,100,2.39,overcast clouds
176,Kodar,IN,16.9833,79.9667,74.3,95,100,15.28,heavy intensity rain
177,Ola,RU,59.5833,151.2833,58.6,72,72,4.94,broken clouds
178,Myitkyina,MM,25.3833,97.4,75.45,100,95,0.4,overcast clouds
179,Bereda,ES,43.2686,-7.5406,64.58,100,68,6.64,broken clouds
180,Assiniboia,CA,49.6334,-105.9845,84.02,20,30,8.05,scattered clouds
181,Ponta Do Sol,PT,32.6667,-17.1,71.71,83,1,2.77,clear sky
182,Mantua,IT,45.1667,10.7833,78.04,84,56,1.99,broken clouds
183,Redlands,US,34.0556,-117.1825,105.31,19,53,7.0,broken clouds
184,Cockburn Town,TC,21.4612,-71.1419,84.16,74,75,13.8,broken clouds
185,Henties Bay,NA,-22.116,14.2845,55.26,90,49,8.81,scattered clouds
186,Prince Rupert,CA,54.3161,-130.3201,60.89,74,20,11.5,few clouds
187,Malazgirt,TR,39.1427,42.5401,66.2,49,0,3.38,clear sky
188,North Auburn,US,38.9313,-121.0819,96.04,29,0,5.75,clear sky
189,Tuatapere,NZ,-46.1333,167.6833,39.38,72,24,11.77,few clouds
190,Karratha,AU,-20.7377,116.8463,63.12,41,0,6.82,clear sky
191,Khandbari,NP,27.3747,87.2039,72.86,88,47,2.89,scattered clouds
192,Mar Del Plata,AR,-38.0023,-57.5575,46.09,83,75,8.05,broken clouds
193,Fortuna,US,40.5982,-124.1573,71.92,73,75,12.66,broken clouds
194,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.76,80,69,1.36,broken clouds
195,Adrar,MR,20.5022,-10.0711,100.0,18,69,1.99,broken clouds
196,Bilibino,RU,68.0546,166.4372,45.36,52,11,4.0,few clouds
197,Raisen,IN,23.3333,77.8,76.59,91,100,5.21,light rain
198,Matina,CR,10.0761,-83.2895,82.27,92,95,4.41,overcast clouds
199,Egvekinot,RU,66.3167,-179.1667,39.16,40,54,13.53,broken clouds
200,Manturovo,RU,58.3353,44.7619,61.3,96,53,2.48,broken clouds
201,Ixtapa,MX,20.7,-105.2,87.03,66,100,9.22,overcast clouds
202,Severo-Kurilsk,RU,50.6789,156.125,58.51,87,21,5.19,few clouds
203,Faya,SA,18.3851,42.4509,66.31,71,49,3.85,scattered clouds
204,Castelo Do Piaui,BR,-5.3222,-41.5525,81.97,35,18,7.49,few clouds
205,Yumen,CN,40.2833,97.2,70.54,49,89,6.96,overcast clouds
206,Bathsheba,BB,13.2167,-59.5167,81.21,93,20,16.11,few clouds
207,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,88.43,25,96,5.55,overcast clouds
208,Versalles,FR,48.8,2.1333,68.95,46,0,11.5,clear sky
209,Caluquembe,AO,-13.7833,14.6833,60.06,23,0,2.15,clear sky
210,Agadez,NE,19.75,10.25,95.05,16,98,3.06,overcast clouds
211,Three Hills,CA,51.7001,-113.2686,84.27,32,0,5.75,clear sky
212,Lebu,CL,-37.6167,-73.65,46.51,85,100,8.55,overcast clouds
213,Nome,US,64.5011,-165.4064,48.27,81,100,3.44,overcast clouds
214,Rio Grande,BR,-32.035,-52.0986,57.31,84,100,14.54,overcast clouds
215,Hami,CN,42.8,93.45,82.26,26,23,10.6,few clouds
216,Hambantota,LK,6.1241,81.1185,77.81,82,96,17.98,overcast clouds
217,Dhidhdhoo,MV,6.8833,73.1,80.15,84,100,17.9,overcast clouds
218,Haines Junction,CA,60.7522,-137.5108,64.35,45,90,9.22,overcast clouds
219,Uige,AO,-7.6087,15.0613,65.53,65,5,2.04,clear sky
220,Dingle,PH,10.9995,122.6711,75.52,91,99,3.53,overcast clouds
221,La Palma,US,33.8464,-118.0467,105.96,44,75,10.36,broken clouds
222,Pacific Grove,US,36.6177,-121.9166,78.03,73,0,10.36,clear sky
223,Grindavik,IS,63.8424,-22.4338,50.47,93,75,14.97,broken clouds
224,Porto Novo,BJ,6.4965,2.6036,76.82,85,29,8.93,scattered clouds
225,Akranes,IS,64.3218,-22.0749,50.56,85,80,19.57,broken clouds
226,San Carlos De Bariloche,AR,-41.1456,-71.3082,31.89,98,100,3.15,snow
227,Falun,SE,60.6036,15.626,52.21,67,100,2.08,overcast clouds
228,Los Andes,CL,-32.8337,-70.5983,46.0,66,48,4.99,scattered clouds
229,Zyryanka,RU,65.75,150.85,68.18,57,81,9.89,broken clouds
230,Igarka,RU,67.4667,86.5833,56.86,84,100,7.05,overcast clouds
231,Maslova Pristan,RU,50.4587,36.7408,67.35,49,83,3.62,broken clouds
232,Gagino,RU,55.2314,45.0339,65.07,64,5,3.78,clear sky
233,Boa Esperanca,BR,-21.09,-45.5658,75.92,32,100,0.16,overcast clouds
234,Hervey Bay,AU,-25.2986,152.8535,60.03,63,0,11.99,clear sky
235,Pisco,PE,-13.7,-76.2167,62.65,77,20,9.22,few clouds
236,San Miguel,SV,13.4833,-88.1833,89.26,78,75,9.22,broken clouds
237,Deputatskiy,RU,69.3,139.9,49.98,89,100,5.06,overcast clouds
238,Zlocieniec,PL,53.5329,16.0113,57.69,72,31,5.28,scattered clouds
239,San Cristobal,VE,7.7669,-72.225,77.18,76,95,3.4,overcast clouds
240,Kajaani,FI,64.2273,27.7285,51.85,87,20,6.91,few clouds
241,Saldanha,ZA,-33.0117,17.9442,53.65,92,25,11.32,scattered clouds
242,Vao,NC,-22.6667,167.4833,71.98,83,4,9.48,clear sky
243,Arman,RU,59.7,150.1667,61.16,65,97,3.18,overcast clouds
244,Zambezi,ZM,-13.5432,23.1047,56.73,34,0,5.59,clear sky
245,Fort Nelson,CA,58.8053,-122.7002,71.19,40,75,10.36,broken clouds
246,Birjand,IR,32.8663,59.2211,70.27,24,0,4.61,clear sky
247,Alva,GB,56.1528,-3.8051,59.67,86,99,7.11,overcast clouds
248,Ilulissat,GL,69.2167,-51.1,44.62,87,100,4.61,overcast clouds
249,Saint Anthony,US,45.0205,-93.218,74.35,74,100,9.22,overcast clouds
250,Aasiaat,GL,68.7098,-52.8699,38.73,93,97,7.07,overcast clouds
251,Palmer,US,42.1584,-72.3287,87.24,77,75,12.66,broken clouds
252,Wau,SS,7.7029,27.9953,69.98,98,94,4.27,moderate rain
253,Nalut,LY,30.3333,10.85,84.07,29,13,15.99,few clouds
254,Ormara,PK,25.2088,64.6357,80.91,88,100,10.13,overcast clouds
255,Tasiilaq,GL,65.6145,-37.6368,42.96,98,100,6.87,moderate rain
256,Englewood,US,39.6478,-104.9878,84.97,46,75,10.36,broken clouds
257,Manjacaze,MZ,-24.7117,33.8828,64.87,79,25,8.63,scattered clouds
258,Bac Lieu,VN,9.285,105.7244,78.06,86,100,7.72,overcast clouds
259,Leticia,CO,-4.2153,-69.9406,78.85,83,40,3.44,heavy intensity rain
260,Asau,RO,46.4333,26.4,63.52,93,0,4.21,clear sky
261,Cascais,PT,38.6979,-9.4215,67.93,66,2,3.0,clear sky
262,La Asuncion,VE,11.0333,-63.8628,85.73,66,5,12.66,clear sky
263,Bestobe,KZ,52.4994,73.0975,61.18,80,98,5.46,overcast clouds
264,Areosa,PT,41.7178,-8.8571,63.32,95,10,1.45,clear sky
265,Ozinki,RU,51.1786,49.6769,72.64,41,34,7.07,scattered clouds
266,Sidi Bin Nur,TN,35.5333,10.9167,82.31,66,0,7.67,clear sky
267,Mabaruma,GY,8.2,-59.7833,76.91,88,84,4.14,broken clouds
268,Lorengau,PG,-2.0226,147.2712,83.28,73,82,8.37,broken clouds
269,Kosa,RU,59.9445,54.9977,68.38,63,98,3.36,overcast clouds
270,Morlaix,FR,48.5833,-4.0,62.06,87,2,8.05,clear sky
271,Alta Gracia,AR,-31.6529,-64.4283,51.89,62,97,4.63,light rain
272,Pokrovsk,UA,48.282,37.1758,71.44,33,2,8.68,clear sky
273,Baykit,RU,61.67,96.37,56.52,86,60,3.24,broken clouds
274,Grand-Santi,GF,4.25,-54.3833,77.77,75,86,1.7,overcast clouds
275,Jalu,LY,29.0331,21.5482,79.7,57,0,11.63,clear sky
276,Atar,MR,20.5169,-13.0499,98.06,28,6,10.02,clear sky
277,Minot,US,48.2325,-101.2963,71.82,56,0,5.75,clear sky
278,Tautira,PF,-17.7333,-149.15,75.11,73,93,22.66,light rain
279,Maceio,BR,-9.6658,-35.7353,72.84,88,20,5.75,few clouds
280,Anadyr,RU,64.75,177.4833,46.9,53,40,20.0,scattered clouds
281,Bwanga,TZ,-3.0308,31.7601,67.73,43,3,4.68,clear sky
282,Zhongshu,CN,24.5167,103.7667,63.37,94,83,0.96,broken clouds
283,Durham,US,36.0335,-78.8664,88.34,72,75,4.61,broken clouds
284,Nha Trang,VN,12.25,109.1833,77.0,89,100,5.75,overcast clouds
285,Ilhabela,BR,-23.7781,-45.3581,69.06,91,100,2.1,overcast clouds
286,Conde,BR,-7.2597,-34.9075,72.86,88,0,4.61,clear sky
287,Ancud,CL,-41.8697,-73.8203,45.23,81,12,2.08,few clouds
288,Billings,US,45.7833,-108.5007,87.3,23,0,9.22,clear sky
289,Murray Bridge,AU,-35.1167,139.2667,51.12,83,0,2.13,clear sky
290,Sestri Levante,IT,44.2732,9.3968,80.51,84,55,3.0,broken clouds
291,Manadhoo,MV,5.7667,73.3833,80.26,82,100,17.63,overcast clouds
292,Arrecife,ES,28.963,-13.5477,73.38,78,20,21.85,few clouds
293,Yulara,AU,-25.2406,130.9889,49.42,43,0,11.12,clear sky
294,Mezen,RU,65.8522,44.24,54.82,77,93,6.89,overcast clouds
295,Miracema Do Tocantins,BR,-9.5618,-48.3967,84.18,29,38,2.28,scattered clouds
296,Aparecida Do Taboado,BR,-20.0867,-51.0936,82.2,29,100,2.86,overcast clouds
297,Luderitz,NA,-26.6481,15.1594,56.66,74,0,9.4,clear sky
298,Andenes,NO,69.3143,16.1194,49.98,87,100,13.8,overcast clouds
299,Seka,TH,17.9285,103.9552,73.31,98,98,4.23,light rain
300,Eureka,US,40.8021,-124.1637,74.68,80,87,5.01,overcast clouds
301,Salalah,OM,17.0151,54.0924,75.29,100,100,2.3,light intensity drizzle
302,Vardo,NO,70.3705,31.1107,48.18,87,100,14.97,overcast clouds
303,Luwuk,ID,-0.9516,122.7875,77.05,87,100,4.05,overcast clouds
304,Geraldton,AU,-28.7667,114.6,50.41,93,3,13.8,clear sky
305,Mocajuba,BR,-2.5842,-49.5072,81.14,67,71,4.72,broken clouds
306,Kirovskiy,RU,45.0917,133.5136,73.15,95,100,5.88,overcast clouds
307,Chuy,UY,-33.6971,-53.4616,47.32,87,14,7.38,few clouds
308,Ulaanbaatar,MN,47.9077,106.8832,51.93,82,40,4.47,scattered clouds
309,Muroto,JP,33.2833,134.15,83.77,77,79,6.87,broken clouds
310,Terrace Bay,CA,48.7834,-87.1,58.17,64,90,5.66,overcast clouds
311,Ndola,ZM,-12.9587,28.6366,56.61,52,1,5.32,clear sky
312,Pevek,RU,69.7008,170.3133,32.43,94,100,16.02,overcast clouds
